year,department,county,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so
2010,Alliance P.D.,Box Butte,16,1,0,7,0,2,1,,,,"8,491",2,
2010,Beatrice P.D.,Gage,17,4,4,6,0,1,,,,,"12,459",1.7,
2010,Bellevue P.D.,Sarpy,94,7,5,13,0,7,4,,1,1,"50,137",2,
2010,Blair P.D.,Washington,17,0,0,2,2,0,,,,,"7,990",2.1,
2010,Chadron P.D.,Dawes,13,1,3,3,0,5,,,,,"5,851",2.4,
2010,Columbus P.D.,Platte,30,3,2,13,0,0,2,,1,,"22,111",1.5,
2010,Crete P.D.,Saline,8,2,1,5,2,1,1,,,,"6,960",1.4,2
2010,Fremont P.D.,Dodge,37,2,1,9,5,6,2,,,,"26,397",1.5,5
2010,Gering P.D.,Scotts Bluff,14,1,0,3,0,0,,,,,"8,500",1.8,
2010,Grand Island P.D.,Hall,66,6,1,9,0,7,5,,,,"48,520",1.5,
2010,Hastings P.D.,Adams,32,4,0,12,0,4,2,,,,"24,907",1.4,2
2010,Holdrege P.D.,Phelps,10,0,1,5,0,0,,,,,"5,495",1.8,
2010,Kearney P.D.,Buffalo,48,4,5,9,0,0,1,,,,"30,787",1.7,
2010,LaVista P.D.,Sarpy,30,3,0,3,0,1,,,1,,"15,758",2.1,
2010,Lexington P.D.,Dawson,15,1,0,2,0,0,1,,,,"10,230",1.6,
2010,Lincoln P.D.,Lancaster,278,47,18,67,0,9,,,1,,"258,379",1.3,
2010,McCook P.D.,Red Willow,16,0,0,4,1,1,,,1,2,"7,698",2.1,
2010,Nebraska City P.D.,Otoe,14,1,0,1,0,0,,,,,"7,289",2.1,
2010,Norfolk P.D.,Madison,37,2,2,13,0,1,,,,,"24,210",1.6,
2010,North Platte P.D.,Lincoln,41,0,5,20,0,1,1,,,,"24,733",1.7,
2010,Omaha P.D.,Douglas,641,148,34,95,37,27,31,,49,,"408,958",1.9,
2010,Papillion P.D.,Sarpy,34,5,1,3,0,1,,,,,"18,894",2.1,
2010,Plattsmouth P.D.,Cass,14,0,0,3,0,0,2,,,3,"6,502",2.2,3
