year,department,county,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so
2012,Gering PD,Scotts Bluff,14,1,0,3,0,0,,,,,"8,578",1.7,
2012,Grand Island PD,Hall,70,6,1,9,0,7,6.0,5.0,4.0,,"49,583",1.5,
2012,Hastings PD,Adams,32,5,0,11,0,6,2.0,,1.0,,"24,961",1.5,3.0
2012,Holdrege PD,Phelps,9,0,1,5,0,0,1.0,,,,"5,531",1.6,
2012,Kearney PD,Buffalo,51,2,4,8,0,0,1.0,,1.0,,"31,392",1.7,
2012,LaVista PD,Sarpy,32,2,2,3,0,1,,,,,"16,242",2.1,
2012,Lexington PD,Dawson,17,1,0,2,0,0,,,,,"10,329",1.7,
2012,Lincoln PD,Lancaster,273,47,28,66,0,10,,,,,"264,175",1.2,
2012,McCook PD,Red Willow,14,1,1,4,1,2,1.0,,,1.0,"7,735",1.9,
2012,Nebraska City PD,Otoe,13,1,0,1,0,0,2.0,,,,"7,366",1.9,
2012,Norfolk PD,Madison,36,1,3,14,0,0,1.0,,,,"24,418",1.5,
2012,North Platte PD,Lincoln,40,1,4,21,0,1,1.0,,,,"24,806",1.7,
2012,Omaha PD,Douglas,646,149,38,110,36,25,4.0,,25.0,,"417,970",1.9,
2012,Papillion PD,Sarpy,34,5,1,3,0,1,,,,,"19,466",2.0,
2012,Plattsmouth PD,Cass,13,1,0,3,0,0,,,,,"6,534",2.1,2.0
2012,Ralston PD,Sarpy,11,2,0,2,0,0,,,,,"6,077",2.1,
2012,Schuyler PD,Colfax,7,1,0,2,0,0,,,,,"6,313",1.3,
2012,Scottsbluff PD,Scotts Bluff,26,2,1,4,0,0,4.0,,,,"15,174",1.8,
2012,Seward PD,Seward,10,1,1,1,1,0,,,,,"6,995",1.6,
2012,Sidney PD,Cheyenne,14,0,0,2,0,1,,,,,"6,789",2.1,
2012,So Sioux City PD,Dakota,26,1,0,1,0,2,,,,,"13,386",2.0,
2012,Wayne PD,Wayne,7,0,4,1,1,0,2.0,,,,"5,652",1.2,
2012,York PD,York,13,0,1,5,0,0,1.0,,,,"7,857",1.7,
2013,Alliance PD,Box Butte,15,1,0,6,0,0,0.0,0.0,1.0,0.0,"8,510",1.9,0.0
2013,Beatrice PD,Gage,18,3,4,6,0,2,0.0,0.0,0.0,0.0,"12,055",1.7,0.0
2013,Bellevue PD,Sarpy,88,6,6,9,0,8,2.0,0.0,1.0,1.0,"53,023",1.8,0.0
2013,Blair PD,Washington,15,0,1,2,2,2,2.0,1.0,0.0,0.0,"7,978",1.9,0.0
2013,Chadron PD,Dawes,12,2,3,3,0,1,0.0,0.0,0.0,0.0,"5,845",2.4,0.0
2013,Columbus PD,Platte,33,3,2,14,0,0,0.0,0.0,0.0,1.0,"22,624",1.6,0.0
2013,Crete PD,Saline,9,2,4,1,3,2,1.0,0.0,0.0,0.0,"7,238",1.6,0.0
2013,Fremont PD,Dodge,33,2,0,4,1,0,4.0,0.0,1.0,0.0,"26,098",1.3,3.0
2013,Gering PD,Scotts Bluff,14,0,0,3,0,0,1.0,0.0,0.0,0.0,"8,480",1.6,0.0
2013,Grand Island PD,Hall,76,8,1,13,0,6,3.0,0.0,0.0,1.0,"50,441",1.7,0.0
2013,Hastings PD,Adams,33,5,1,13,0,4,0.0,0.0,0.0,0.0,"25,012",1.5,3.0
2013,Holdrege PD,Phelps,10,0,2,4,0,0,0.0,0.0,0.0,0.0,"5,548",1.8,0.0
2013,Kearney PD,Buffalo,51,2,4,9,0,0,0.0,0.0,0.0,0.0,"32,113",1.7,0.0
2013,LaVista PD,Sarpy,31,2,1,4,0,1,1.0,0.0,0.0,0.0,"17,790",2.0,0.0
2013,Lexington PD,Dawson,17,1,0,2,0,0,1.0,0.0,0.0,0.0,"10,204",1.7,0.0
2013,Lincoln PD,Lancaster,270,51,47,88,0,12,0.0,0.0,15.0,0.0,"267,565",1.2,0.0
2013,McCook PD,Red Willow,14,2,1,4,0,2,0.0,0.0,0.0,0.0,"7,639",2.1,0.0
2013,Nebraska City PD,Otoe,12,1,0,1,0,0,0.0,0.0,0.0,0.0,"7,269",1.8,0.0
2013,Norfolk PD,Madison,38,0,4,16,0,0,0.0,0.0,0.0,0.0,"24,362",1.6,0.0
2013,North Platte PD,Lincoln,39,1,3,21,0,1,2.0,0.0,1.0,0.0,"24,551",1.6,0.0
2013,Omaha PD,Douglas,624,143,36,98,37,23,37.0,0.0,23.0,0.0,"425,076",1.8,0.0
2013,Papillion PD,Sarpy,35,4,1,3,0,1,0.0,0.0,0.0,0.0,"21,274",2.0,0.0
2013,Plattsmouth PD,Cass,13,1,0,3,0,0,0.0,0.0,0.0,0.0,"6,422",2.1,2.0
2013,Ralston PD,Sarpy,12,1,0,2,0,0,0.0,0.0,0.0,0.0,"7,662",2.1,0.0
2013,Schuyler PD,Colfax,7,1,0,2,0,0,0.0,0.0,0.0,0.0,"6,303",1.3,0.0
2013,Scottsbluff PD,Scotts Bluff,26,3,1,4,0,0,3.0,0.0,0.0,0.0,"15,057",1.9,0.0
2013,Seward PD,Seward,10,1,1,1,1,0,0.0,0.0,0.0,0.0,"7,063",1.6,0.0
2013,Sidney PD,Cheyenne,14,0,0,2,0,1,0.0,0.0,0.0,0.0,"6,831",2.1,0.0
2013,So Sioux City PD,Dakota,26,1,0,1,0,1,0.0,0.0,0.0,0.0,"13,407",2.0,0.0
2013,Wayne PD,Wayne,6,0,3,2,1,0,2.0,0.0,0.0,0.0,"5,656",1.1,0.0
2013,York PD,York,15,0,1,5,0,0,0.0,0.0,0.0,0.0,"7,875",1.9,0.0
2014,Alliance PD,Box Butte,14,1,0,0,6,1,1.0,0.0,1.0,0.0,8502,2.5,0.0
2014,Beatrice PD,Gage,17,3,0,0,10,2,0.0,0.0,0.0,0.0,12092,2.5,0.0
2014,Bellevue PD,Sarpy,87,6,0,0,16,6,3.0,0.0,1.0,1.0,54251,2.0,0.0
2014,Blair PD,Washington,15,1,2,0,3,2,1.0,3.0,0.0,0.0,7986,2.4,0.0
2014,Chadron PD,Dawes,14,0,0,0,7,0,0.0,0.0,0.0,0.0,5773,3.6,0.0
2014,Columbus PD,Platte,32,4,0,0,14,1,0.0,0.0,0.0,1.0,22614,2.2,0.0
2014,Crete PD,Saline,9,3,3,0,5,2,0.0,0.0,0.0,0.0,7171,2.4,0.0
2014,Fremont PD,Dodge,33,1,1,0,5,1,5.0,1.0,1.0,0.0,26322,1.5,3.0
2014,Gering PD,Scotts Bluff,16,0,0,0,3,0,0.0,0.0,0.0,0.0,8469,2.2,0.0
2014,Grand Island PD,Hall,80,7,0,0,16,7,0.0,0.0,0.0,1.0,50999,2.0,0.0
2014,Hastings PD,Adams,32,4,0,0,16,2,2.0,0.0,0.0,0.0,25070,2.1,0.0
2014,Holdrege PD,Phelps,10,0,0,0,5,0,0.0,0.0,0.0,0.0,5536,2.7,0.0
2014,Kearney PD,Buffalo,49,2,0,0,13,0,3.0,0.0,0.0,0.0,32513,2.0,0.0
2014,LaVista PD,Sarpy,32,3,0,0,5,1,0.0,0.0,0.0,0.0,17955,2.2,0.0
2014,Lexington PD,Dawson,19,0,0,0,2,0,0.0,0.0,0.0,0.0,10195,2.1,0.0
2014,Lincoln PD,Lancaster,266,54,0,0,140,11,3.0,0.0,15.0,0.0,271208,1.7,0.0
2014,McCook PD,Red Willow,13,2,0,0,5,2,1.0,0.0,0.0,0.0,7697,2.6,0.0
2014,Nebraska City PD,Otoe,13,1,0,0,1,0,0.0,0.0,0.0,0.0,7243,2.1,0.0
2014,Norfolk PD,Madison,37,0,0,0,17,0,3.0,0.0,0.0,0.0,24588,2.2,0.0
2014,North Platte PD,Lincoln,39,2,0,0,25,1,0.0,0.0,1.0,0.0,24490,2.7,0.0
2014,Omaha PD,Douglas,646,147,33,8,135,26,11.0,0.0,23.0,0.0,438465,2.1,0.0
2014,Papillion PD,Sarpy,34,4,0,0,4,1,2.0,0.0,0.0,0.0,22606,1.9,0.0
2014,Plattsmouth PD,Cass,13,1,0,0,3,0,0.0,0.0,0.0,0.0,6460,2.6,3.0
2014,Ralston PD,Sarpy,13,1,0,0,2,0,0.0,0.0,0.0,0.0,7586,2.1,0.0
2014,Schuyler PD,Colfax,6,1,0,0,2,0,2.0,0.0,0.0,0.0,6122,1.5,0.0
2014,Scottsbluff PD,Scotts Bluff,27,3,0,0,5,0,1.0,0.0,0.0,0.0,15009,2.3,0.0
