County,Agency,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
Lincoln,North Platte P.D.,1123,438,2275,2177,2230,2259,2232,2221,301,1569,2198,1875,1883,1807,1701,1469,1346,29104
Lincoln,Nebraska State Patrol,6,6,3,8,11,7,3,3,3,8,8,2,3,8,4,6,7,96
Logan,Nebraska State Patrol,1,0,0,0,3,1,0,4,1,0,4,0,2,0,0,0,0,16
Loup,Loup CO. S.O.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loup,Nebraska State Patrol,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
McPherson,McPherson CO. S.O.,4,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,13
McPherson,Nebraska State Patrol,0,0,0,0,1,0,0,1,1,0,0,0,2,1,2,0,0,8
Madison,Madison CO. S.O.,133,135,208,157,178,132,114,93,117,135,87,112,98,118,134,112,96,2159
Madison,Norfolk P.D.,1235,1482,1820,1448,1398,1247,1062,947,1029,1049,1070,972,1066,1063,822,762,589,19061
Madison,Madison P.D.,0,0,0,61,64,50,61,50,71,60,53,40,43,38,35,39,31,696
Madison,Tilden P.D.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
Madison,Nebraska State Patrol,36,38,15,22,31,23,8,7,5,6,16,7,6,7,1,4,4,236
Merrick,Merrick CO. S.O.,59,117,90,88,120,88,99,64,84,76,102,10,0,72,25,26,35,1155
Merrick,Central City P.D.,82,81,85,119,113,120,116,88,88,87,71,87,83,91,73,76,49,1509
Merrick,Nebraska State Patrol,2,3,4,6,3,2,3,3,1,0,3,1,0,1,1,0,1,34
Morrill,Morrill CO. S.O.,55,44,39,47,33,29,47,43,33,31,35,25,16,27,9,37,44,594
Morrill,Bayard P.D.,34,30,31,60,63,40,51,43,30,30,23,16,5,0,0,13,21,490
Morrill,Bridgeport P.D.,29,27,49,34,28,29,46,51,39,58,35,19,20,41,17,6,0,528
Morrill,Nebraska State Patrol,0,2,0,2,5,0,0,1,1,2,2,1,0,2,0,1,1,20
Nance,Nance CO. S.O.,49,55,56,56,50,38,39,36,31,30,42,45,49,15,0,8,0,599
Nance,Nebraska State Patrol,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3
Nemaha,Nemaha CO. S.O.,42,22,42,53,36,67,57,70,59,50,76,41,32,111,106,105,132,1101
