year,department,county,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so,total_crime
2010,Omaha PD,Douglas,641,148,34,95,37,27,31,,49,,408958,1.9,,23719
2010,Papillion PD,Sarpy,34,5,1,3,0,1,,,,,18894,2.1,,536
2010,Plattsmouth PD,Cass,14,0,0,3,0,0,2,,,3,6502,2.2,3,243
2010,Ralston PD,Sarpy,11,2,0,2,0,0,,,,,5943,2.2,,203
2010,Schuyler PD,Colfax,6,2,0,2,0,0,,,,,6211,1.3,,0
2010,Scottsbluff PD,Scotts Bluff,29,2,1,4,0,0,1,,,,15039,2.1,,1148
2010,Seward PD,Seward,8,1,1,1,3,0,2,,,,6964,1.3,,123
2010,So Sioux City PD,Dakota,26,1,0,1,0,2,1,,,,13353,2,,406
2010,Sidney PD,Cheyenne,12,0,0,2,0,1,2,,,,6757,1.8,,147
2010,Wayne PD,Wayne,8,1,2,3,1,1,,,,,5660,1.6,,145
2010,York PD,York,13,0,1,5,0,0,1,,,,7766,1.7,,255
2011,Alliance PD,Box Butte,16,2,0,7,0,2,,,,,8567,2.1,,318
2011,Beatrice PD,Gage,17,4,3,7,0,3,,,,,12570,1.7,,677
2011,Bellevue PD,Sarpy,90,8,3,12,0,9,,,2,,50584,1.9,,2034
2011,Blair PD,Washington,17,0,1,2,2,2,,,,,8061,2.1,,175
2011,Chadron PD,Dawes,13,1,3,3,0,2,,,,,5903,2.4,,215
2011,Columbus PD,Platte,33,3,2,13,0,0,,,2,,22308,1.6,,689
2011,Crete PD,Saline,9,2,2,5,0,1,,,,,7022,1.6,3,287
2011,Fremont PD,Dodge,35,2,1,9,4,4,3,,,,26633,1.4,4,1142
2011,Gering PD,Scotts Bluff,14,1,0,3,0,0,,,,,8576,1.7,,205
2011,Grand Island PD,Hall,71,6,1,10,0,5,,,,2,48953,1.6,,3149
2011,Hastings PD,Adams,30,5,0,11,0,5,3,,1,,25129,1.4,3,1341
2011,Holdrege PD,Phelps,10,0,1,5,0,0,,,,,5544,1.8,,183
2011,Kearney PD,Buffalo,52,3,5,9,0,0,,,,,31062,1.8,,1262
2011,LaVista PD,Sarpy,32,2,1,4,0,1,,,,,15899,2.1,,450
2011,Lexington PD,Dawson,15,1,0,2,0,0,2,,,,10321,1.6,,508
2011,Lincoln PD,Lancaster,280,47,29,65,0,9,,,2,,260685,1.3,,15091
2011,McCook PD,Red Willow,16,0,1,4,1,4,,,,,7767,2.1,,305
2011,Nebraska City PD,Otoe,13,1,0,1,0,0,,,,,7354,1.9,,266
2011,Norfolk PD,Madison,37,1,4,16,0,0,,,,,24426,1.6,,972
2011,North Platte PD,Lincoln,39,0,4,19,0,1,3,,2,,24954,1.6,,1875
2011,Omaha PD,Douglas,632,146,36,110,36,28,11,,29,,412608,1.9,,25255
2011,Papillion PD,Sarpy,33,5,1,3,0,1,1,,,,19063,2,,505
2011,Plattsmouth PD,Cass,14,0,0,3,0,0,,,,,6560,2.1,3,274
2011,Ralston PD,Sarpy,11,2,0,2,0,0,,,,,5996,2.2,,229
