year,department,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so
2009,Scottsbluff P.D.,28,2,1,4,0,0,2,,,,"14,773",2,
2009,Seward P.D.,9,0,1,1,4,0,2,,,,"6,883",1.3,
2009,Sidney P.D.,13,0,0,2,0,1,1,,,,"6,514",2,
2009,Wayne P.D.,8,1,3,3,1,1,,,,,"5,268",1.7,
2009,York P.D.,14,0,1,5,0,0,,,,,"7,847",1.8,
2010,Alliance P.D.,16,1,0,7,0,2,1,,,,"8,491",2,
2010,Beatrice P.D.,17,4,4,6,0,1,,,,,"12,459",1.7,
2010,Bellevue P.D.,94,7,5,13,0,7,4,,1,1,"50,137",2,
2010,Blair P.D.,17,0,0,2,2,0,,,,,"7,990",2.1,
2010,Chadron P.D.,13,1,3,3,0,5,,,,,"5,851",2.4,
2010,Columbus P.D.,30,3,2,13,0,0,2,,1,,"22,111",1.5,
2010,Crete P.D.,8,2,1,5,2,1,1,,,,"6,960",1.4,2
2010,Fremont P.D.,37,2,1,9,5,6,2,,,,"26,397",1.5,5
2010,Gering P.D.,14,1,0,3,0,0,,,,,"8,500",1.8,
2010,Grand Island P.D.,66,6,1,9,0,7,5,,,,"48,520",1.5,
2010,Hastings P.D.,32,4,0,12,0,4,2,,,,"24,907",1.4,2
2010,Holdrege P.D.,10,0,1,5,0,0,,,,,"5,495",1.8,
2010,Kearney P.D.,48,4,5,9,0,0,1,,,,"30,787",1.7,
2010,LaVista P.D.,30,3,0,3,0,1,,,1,,"15,758",2.1,
2010,Lexington P.D.,15,1,0,2,0,0,1,,,,"10,230",1.6,
2010,Lincoln P.D.,278,47,18,67,0,9,,,1,,"258,379",1.3,
2010,McCook P.D.,16,0,0,4,1,1,,,1,2,"7,698",2.1,
2010,Nebraska City P.D.,14,1,0,1,0,0,,,,,"7,289",2.1,
2010,Norfolk P.D.,37,2,2,13,0,1,,,,,"24,210",1.6,
2010,North Platte P.D.,41,0,5,20,0,1,1,,,,"24,733",1.7,
2010,Omaha P.D.,641,148,34,95,37,27,31,,49,,"408,958",1.9,
2010,Papillion P.D.,34,5,1,3,0,1,,,,,"18,894",2.1,
2010,Plattsmouth P.D.,14,0,0,3,0,0,2,,,3,"6,502",2.2,3
2010,Ralston P.D.,11,2,0,2,0,0,,,,,"5,943",2.2,
2010,Schuyler P.D.,6,2,0,2,0,0,,,,,"6,211",1.3,
2010,Scottsbluff P.D.,29,2,1,4,0,0,1,,,,"15,039",2.1,
2010,Seward P.D.,8,1,1,1,3,0,2,,,,"6,964",1.3,
2010,So. Sioux City P.D.,26,1,0,1,0,2,1,,,,"13,353",2,
2010,Sidney P.D.,12,0,0,2,0,1,2,,,,"6,757",1.8,
2010,Wayne P.D.,8,1,2,3,1,1,,,,,"5,660",1.6,
2010,York P.D.,13,0,1,5,0,0,1,,,,"7,766",1.7,
2011,Alliance P.D.,16,2,0,7,0,2,,,,,"8,567",2.1,
2011,Beatrice P.D.,17,4,3,7,0,3,,,,,"12,570",1.7,
2011,Bellevue P.D.,90,8,3,12,0,9,,,2,,"50,584",1.9,
2011,Blair P.D.,17,0,1,2,2,2,,,,,"8,061",2.1,
2011,Chadron P.D.,13,1,3,3,0,2,,,,,"5,903",2.4,
2011,Columbus P.D.,33,3,2,13,0,0,,,2,,"22,308",1.6,
2011,Crete P.D.,9,2,2,5,0,1,,,,,"7,022",1.6,3
2011,Fremont P.D.,35,2,1,9,4,4,3,,,,"26,633",1.4,4
2011,Gering P.D.,14,1,0,3,0,0,,,,,"8,576",1.7,
2011,Grand Island P.D.,71,6,1,10,0,5,,,,2,"48,953",1.6,
2011,Hastings P.D.,30,5,0,11,0,5,3,,1,,"25,129",1.4,3
2011,Holdrege P.D.,10,0,1,5,0,0,,,,,"5,544",1.8,
2011,Kearney P.D.,52,3,5,9,0,0,,,,,"31,062",1.8,
2011,LaVista P.D.,32,2,1,4,0,1,,,,,"15,899",2.1,
2011,Lexington P.D.,15,1,0,2,0,0,2,,,,"10,321",1.6,
2011,Lincoln P.D.,280,47,29,65,0,9,,,2,,"260,685",1.3,
2011,McCook P.D.,16,0,1,4,1,4,,,,,"7,767",2.1,
2011,Nebraska City P.D.,13,1,0,1,0,0,,,,,"7,354",1.9,
