"","year","department","county","ft_so_m","ft_so_f","ft_c_m","ft_c_f","pt_so","pt_c","us_so_ft","us_so_pt","us_c_ft","us_c_pt","pop_covered","so_per_1000","num_res_so","total_crime","total_so","total_c","crime_per_1000","total_so_change"
"68",2009,"Columbus PD","Platte",33,3,2,13,0,0,1,0,1,0,21652,1.7,0,626,36,15,0.0289118788102716,-3
"69",2009,"Crete PD","Saline",9,2,1,5,0,1,0,0,0,0,6258,1.8,3,287,11,6,0.0458612975391499,-1
"70",2009,"Fremont PD","Dodge",39,2,1,9,4,7,0,0,0,0,25220,1.6,4,1286,41,10,0.0509912767644726,-2
"71",2009,"Gering PD","Scotts Bluff",14,1,0,3,0,2,0,0,0,1,7672,2,0,264,15,3,0.0344108446298227,0
"72",2009,"Grand Island PD","Hall",70,5,1,10,0,10,0,0,0,0,46083,1.6,0,3170,75,11,0.0687889243321832,-3
"73",2009,"Hastings PD","Adams",31,5,1,13,0,2,3,0,0,0,25476,1.4,2,1344,36,14,0.0527555346208196,0
"74",2009,"Holdrege PD","Phelps",10,0,1,5,0,0,0,0,0,0,5122,2,0,188,10,6,0.0367044123389301,0
"75",2009,"Kearney PD","Buffalo",49,3,5,8,0,1,0,0,0,0,30759,1.7,0,1502,52,13,0.0488312363860984,0
"76",2009,"LaVista PD","Sarpy",30,3,0,4,0,1,0,0,0,0,17293,1.9,0,508,33,4,0.0293760481119528,0
"77",2009,"Lexington PD","Dawson",12,1,0,2,0,0,3,0,0,0,10138,1.3,0,599,13,2,0.0590846320773328,3
"78",2009,"Lincoln PD","Lancaster",270,49,28,67,0,12,2,0,4,0,254438,1.3,0,14746,319,95,0.0579551796508383,6
"79",2009,"McCook PD","Red Willow",16,0,0,4,0,2,0,0,0,0,7377,2.2,0,322,16,4,0.0436491798834214,0
"80",2009,"Nebraska City PD","Otoe",12,2,0,1,0,0,0,0,0,0,7011,2,0,321,14,1,0.0457851946940522,0
"81",2009,"Norfolk PD","Madison",36,2,3,15,0,0,0,0,2,0,22892,1.7,0,1049,38,18,0.0458238686003844,0
"82",2009,"North Platte PD","Lincoln",42,0,5,20,0,1,0,0,0,0,24127,1.7,0,1569,42,25,0.065030878269159,0
"83",2009,"Omaha PD","Douglas",624,145,35,109,42,24,71,0,35,0,443037,1.7,0,25017,769,144,0.0564670670846904,0
"84",2009,"Papillion PD","Sarpy",33,6,1,3,0,1,0,0,0,0,24390,1.6,0,641,39,4,0.0262812628126281,0
"85",2009,"Plattsmouth PD","Cass",15,0,0,2,0,0,1,0,0,0,6902,2.2,4,48,15,2,0.00695450594030716,0
"86",2009,"Ralston PD","Sarpy",11,0,0,2,0,0,2,0,0,0,6077,1.8,0,213,11,2,0.0350501892381109,0
"87",2009,"Schuyler PD","Colfax",6,2,0,2,0,0,1,0,0,0,5136,1.6,0,0,8,2,0,0
"88",2009,"Scottsbluff PD","Scotts Bluff",28,2,1,4,0,0,2,0,0,0,14773,2,0,1049,30,5,0.0710079198537873,0
"89",2009,"Seward PD","Seward",9,0,1,1,4,0,2,0,0,0,6883,1.3,0,154,9,2,0.0223739648409124,0
"90",2009,"Sidney PD","Cheyenne",13,0,0,2,0,1,1,0,0,0,6514,2,0,127,13,2,0.0194964691433835,0
"91",2009,"Wayne PD","Wayne",8,1,3,3,1,1,0,0,0,0,5268,1.7,0,121,9,6,0.0229688686408504,0
"92",2009,"York PD","York",14,0,1,5,0,0,0,0,0,0,7847,1.8,0,253,14,6,0.0322416210016567,0
"93",2010,"Alliance PD","Box Butte",16,1,0,7,0,2,1,0,0,0,8491,2,0,296,17,7,0.0348604404663762,1
"94",2010,"Beatrice PD","Gage",17,4,4,6,0,1,0,0,0,0,12459,1.7,0,712,21,10,0.0571474436150574,0
"95",2010,"Bellevue PD","Sarpy",94,7,5,13,0,7,4,0,1,1,50137,2,0,2267,101,18,0.0452161078644514,-3
"96",2010,"Blair PD","Washington",17,0,0,2,2,0,0,0,0,0,7990,2.1,0,219,17,2,0.0274092615769712,0
"97",2010,"Chadron PD","Dawes",13,1,3,3,0,5,0,0,0,0,5851,2.4,0,271,14,6,0.0463168689112972,0
"98",2010,"Columbus PD","Platte",30,3,2,13,0,0,2,0,1,0,22111,1.5,0,683,33,15,0.0308896024603139,3
"99",2010,"Crete PD","Saline",8,2,1,5,2,1,1,0,0,0,6960,1.4,2,254,10,6,0.0364942528735632,1
"100",2010,"Fremont PD","Dodge",37,2,1,9,5,6,2,0,0,0,26397,1.5,5,1273,39,10,0.0482251771034587,-2
"101",2010,"Gering PD","Scotts Bluff",14,1,0,3,0,0,0,0,0,0,8500,1.8,0,255,15,3,0.03,0
"102",2010,"Grand Island PD","Hall",66,6,1,9,0,7,5,0,0,0,48520,1.5,0,3015,72,10,0.0621393239901072,5
"103",2010,"Hastings PD","Adams",32,4,0,12,0,4,2,0,0,0,24907,1.4,2,1235,36,12,0.0495844541695106,-1
"104",2010,"Holdrege PD","Phelps",10,0,1,5,0,0,0,0,0,0,5495,1.8,0,213,10,6,0.0387625113739763,0
"105",2010,"Kearney PD","Buffalo",48,4,5,9,0,0,1,0,0,0,30787,1.7,0,1348,52,14,0.0437847143274759,3
"106",2010,"LaVista PD","Sarpy",30,3,0,3,0,1,0,0,1,0,15758,2.1,0,406,33,3,0.0257646909506283,1
"107",2010,"Lexington PD","Dawson",15,1,0,2,0,0,1,0,0,0,10230,1.6,0,534,16,2,0.0521994134897361,0
